id,autor,fecha,texto
1946954909712003295,612564941,2025-07-20 15:26:37+00:00,"#WEURO2025 #EurocopaRTVE 

🔥Día de partido 🔥

🏆 UEFA Women’s Euro Switzerland 2025 🇨🇭| Cuartos de final 

🇫🇷 1-1 🇩🇪

⚽️ 5-6 (P.)

📰 La crónica | Berger mete a Alemania en semifinales de la Eurocopa de Suiza 2025 📰

📝 https://t.co/xgpZMRPJs6

✍️ Manu López Fernández https://t.co/qTADlK6k1p"
1946947198014431551,3047952533,2025-07-20 14:55:59+00:00,"@Leandro6784794 @lautarodeIcampo Entonces Pedri que no jugó la final de la Eurocopa según tu tampoco tiene en su palmares la Eurocopa 

AJKJAKSJAKSJ

Es que eres muy idiota eh?"
1946945867744985206,1324785658993532937,2025-07-20 14:50:42+00:00,"Estas son las 4 mejores de la #weuro2025 

Las elecciones rumbo a la gran final de la Eurocopa son: Inglaterra, Alemania, Italia y España. 

¿Favoritas? https://t.co/sbGSvLNC4W"
1946945529134383112,1746602164988919808,2025-07-20 14:49:21+00:00,"Con las semifinales ya definidas, podrían darse dos finales curiosas:

Podría darse la misma final de la última Eurocopa (Inglaterra - Alemania en 2022).

Podría darse la misma final del último Mundial (Inglaterra - España en 2023). https://t.co/VZeIKfFFOF"
1946941180765470823,729024519747342337,2025-07-20 14:32:04+00:00,"⚪ Unos cuartos trepidantes aseguran representación del Real Madrid en la final de la Eurocopa.

🗞️ Mi resumen para @RMadridistaReal.

https://t.co/3Fhhkqob6X"
1946931893603012681,612564941,2025-07-20 13:55:10+00:00,"🏆 UEFA Women’s Euro Switzerland 2025 🇨🇭|

🔹 Elena Linari (🇮🇹) y Athenea del Castillo (🇪🇸) han presentado el balón especial de la Eurocopa Femenina 2025 que se utilizará en la semifinales y la gran final del torneo.

✍️ Manu López Fernández https://t.co/jcbJ3GIvt2"
1946926725138399544,1877437819095814145,2025-07-20 13:34:38+00:00,"para que jugara con su país, pero ares por primera vez se rebeló y escogió la selección española. a día de hoy, arjen sigue enfadado por ello y no ha ido a verlo a ningún partido que juegue con la roja.

⠀⠀҉ｼ ganó la pasada eurocopa siendo titular excepto en la final, donde"
1946921342072127624,1858343694,2025-07-20 13:13:14+00:00,"@SOSAMIG Totalmente de acuerdo. En aquella Eurocopa, gran parte del mérito de llegar a aquella final fue de Arconada. Comentario desafortunado de @sextaNoticias"
1946921210169774092,1642875393521713152,2025-07-20 13:12:43+00:00,Este es el balón que se utilizará en las semifinales y la gran final de la Eurocopa Femenina de Suiza 2025. https://t.co/PiNXWvbH6C
1946920480256180577,2446096189,2025-07-20 13:09:49+00:00,"No sé quién es Lana del Rey. Pero por 200 pavos por una entrada espero, COMO MÍNIMO, que venga a cantarme al oído la canción que yo elija. 
Por ponerlo en situación: por 200 pavos pillas buena entrada en la final de un mundial/eurocopa.
Ningún, NINGÚN, artista vivo vale eso. https://t.co/GomnAtNzxc"
1946919018134389224,807240351945781248,2025-07-20 13:04:00+00:00,"🤍 Habrá, al menos, una jugadora del Real Madrid en la final de la Eurocopa Femenina.

✍️ @jaimevelasco24

https://t.co/5evhMYax0l"
